id_pictograph,latitude,longitude,img_path,name_pictograph,additional_information
1,59.216128,39.885394,Вологда_Дума.png,Администрация губернатора,
2,59.224020,39.882904,Вологда_Кремль.png,Архиерейский двор,
3,59.214965, 39.909654,Вологда_Андреевская_церковь.png,Андреевская церковь,
4,59.285330,39.937420,Вологда_Аэропорт.png,Аэропорт,
5,59.189424, 39.859678,Вологда_Областная_Детская_больница.png,Областная детская больница,
6,59.216012, 39.866968,Вологда_ВОМЗ.png,ВОМЗ,
7, 59.197157, 39.906846,Вологда_Дворец_Спорта.png, Дворец спорта,
8, 59.229469, 39.894287,Вологда_Пожарное_депо.png ,Пожарная каланча,
9,59.261075, 39.889326,Вологда_Спасо.png, Спасо Прилуцкий Монастырь,
10, 59.194939, 39.938908,Вологда_ТЭС.png, ТЭЦ2,
11, 59.285763, 39.680030,Вологда_ВГМХА.png , ВГМХА,